id,text
@Chae_Roum,"아니 ㅋㅋㅋㅋ 삐돌이 장난을 진지하게 받아들이는 댓글이 더 나빠요ㅋㅋㅋㅋㅋ 그렇게 진지하게 댓글 달면 오히려 준표 선수가 ㄹㅇ 삐돌이인 것 같잖아요그리고 진짜 잘 삐지는 사람 앞에서 삐돌이라고 하겠습니까? 아닌 거 알고 서로 장난치는 거지ㅋㅋㅋㅋㅋㅋ 영상만 봐도 준표 선수도 웃고, 농담 삼아 세 달? 이러는데... 덜 과몰입해도 될 듯요!!"
@ehoh336,우리 태지니 화이팅큠튜브에 인터뷰없으면 섭섭해
@smmss202,한화가 우리 제물로 먹고 엘지랑 붙겠다는데 이걸 어케 참냐고 보란듯이 이겨주자.
@아니근데진짜로,대전 배웅 말고 직접 출장가시지 ㅠ
@200-y8j,하위타선 전멸이라 점수 좀만 더 내자 기도하고 있었는데 홈런이 터지다니도파민도 터졌어요 주성원도 주님할래? 🫶
@yennys8374,"주성원, 김건희 활약 기뻐해주며 본인은 못해도 된다고 말해주는 (설사 빈 말이라도) 송캡틱틱거리는 것 같아도 큠튜브 힘들까봐 걱정해주는 송캡"
@stella03122,주홍아...머리 내리니까 더 아이돌 같네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@gmile6926,박주홍 머리 내린거 왕 에붐
@jooseonglee8982,대전가서도 쉬지말고 일했음 좋겠다. 큠툽 블랙기업이라고 쉬지도 못하고 원정따라가서도 죽자고 일시킨다고 소문났음 좋겠다.
@sohyunkim9525,피카츄 펌하셨네유! 잘어율려유
@rosiechan6338,21:47또 그 초록바지
@dugi765,히어로즈 사랑해
@seungju-g6r,성문이가 잘하니 성원이도 잘한다! 너무 좋자냐!! 가을에 이렇게 잘하는데 ㅠㅠ 내년에는 젤 마지막까지 하자! V1
@정민우-e2q,매운맛 고척가루 대전에서도 잘 뿌려주길~
@조몌-s7k,삐돌이 컨셉 좋음!! 아주 좋음 ㅋㅋㅋ 이거보고 또 더 삐지실듯 ㅋㅋㅋㅋㅋㅋ
@mggal2008,초록바지 어디서 파나요?
@여름아이-h4c,21:07주홍이 머리 예쁜데!!
@user-ramy-heroes,덮머주홍 예쁘다!!! 잘어울려~
@illililiili-m2s,박주홍 머리내린거 예쁨 남자 말 듣지마라 ㅋㅋㅋㅋㅋㅋ
@ljh4486,성무니 초록바지 구매해서 선수들 다 입히자
@user-px4qd6nw4r,"00:08상대가 상처 잘 받는 사람이라고 생각하면서 자꾸 삐돌이다 지금 삐졌다 말하는 건 대놓고 상처주는 거지 ㅠㅠㅠ 
준표 선수 토닥토닥"
@오케이-y8i,아 주홍선수 머리 지금까지 본 것중에 젤 이쁜데 친구 미감 믿지 말고 큠튜브 누님들 말을 믿으세여
@dori9058,"솔직히 내년에 단장이랑 구단주 바꾸는거는 바라지도 않구요,,, 근데 감코는 바꿀 수 있잖아요(이승호코치님 빼고)
올시즌 보고 학습효과가 있었기를 빌어볼게요 남들이 2용타 안하는데도 이유가 잇고 이름있고유명한 코치진들 모아야한다는걸 깨닫는 계기가 되었길
준우승 트로피 이딴거 필요없으요ㅗ"
@user-qg7pq4ke1o,큠튜브한테도 밥 좀 사라ㅋㅋㅋㅋ 고생하는데
@Eun-qb6le,14:07아니 너무 웃곀ㅋㅋㅋ 너네가 홈런 쳤냐고
@윤팁YoonTV,상대방이싫어하면 장난이 아닌거임
@younajung-q8q,"주홍이 머리 너무 잘어울리는데????
주형이 말 믿지마요 ㅋㅋㅋㅋㅋ"
@whatever8892,"오석'주'
'주'성원
하룰라라 조합 ㄳ합니다"
@개미더듬이풍차돌-e1s,이승호코치가 더 감독같다
@kev7893,성문아 다시 한번만 생각해주면 안되겠니 ㅠㅠ
@나나난-p1y,헬멧 잘못 쓴 성문ㅋㅋㄱ기
@아일-k5y,주홍아 앞머리 질감처리 해야할거같아 앞머리 답답해 보이는게 이유같다 가볍게 날리는 정도로 쳐내면 될거같은데
@icarus0297,18:24캡틴은 남은 시즌 쪼금 못해서 내년에도 고척에 있자
@qwerty9793,이찬이가 귀여운만큼만 김선기가 야구 잘하면 진짜 크보 역사에 이름을 새길텐데
@봄봄봄왔어,근데 윤하랑 현기가 잘못했네 없는사람 뒤에서 얘기하는게 더 나쁘긴하지 머리에 맞았음 사과를 제대로 해야지 또 기왕이면 화는 빨리 풀도록 하자근데 남자들은 삐돌이란 말을 진짜 싫어라 함 물론 여자도 그렇지만 속좁다는건데 누가 좋아하겄냐
@앙모찌-e9k,"키움도 유튭있네??ㅋㅋㅋㅋ
우선 엘쥐 털어준건 고맙고...
이제는 우리가 큠 보약 먹을 시간이다 ㅋㅋㅋ
만년 10위...알아서 기어라 ㅋㅋ
그리고 유니폼은 짱ㄲㅐ?스타일임??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
